FIPS,name,AVGhmid
12011,"Broward County, FL",1709
12013,"Calhoun County, FL",416
12015,"Charlotte County, FL",1226
12017,"Citrus County, FL",857
12019,"Clay County, FL",1644
12021,"Collier County, FL",2108
12023,"Columbia County, FL",778
12027,"DeSoto County, FL",523
12029,"Dixie County, FL",413
12031,"Duval County, FL",1341
12033,"Escambia County, FL",957
12035,"Flagler County, FL",1471
12037,"Franklin County, FL",1028
12039,"Gadsden County, FL",830
12041,"Gilchrist County, FL",720
12043,"Glades County, FL",576
12045,"Gulf County, FL",1033
12047,"Hamilton County, FL",408
12049,"Hardee County, FL",412
12051,"Hendry County, FL",507
12053,"Hernando County, FL",854
12055,"Highlands County, FL",650
12057,"Hillsborough Count, FL",1485
12059,"Holmes County, FL",455
12061,"Indian River Count, FL",1388
12063,"Jackson County, FL",560
12065,"Jefferson County, FL",1074
12067,"Lafayette County, FL",552
12069,"Lake County, FL",1292
12071,"Lee County, FL",1450
12073,"Leon County, FL",1492
12075,"Levy County, FL",675
12077,"Liberty County, FL",610
12079,"Madison County, FL",562
12081,"Manatee County, FL",1609
12083,"Marion County, FL",881
12085,"Martin County, FL",1999
12086,"Miami-Dade County, FL",1299
12087,"Monroe County, FL",2141
12089,"Nassau County, FL",1867
12091,"Okaloosa County, FL",1426
12093,"Okeechobee County, FL",601
12095,"Orange County, FL",1422
12097,"Osceola County, FL",978
12099,"Palm Beach County, FL",1853
12101,"Pasco County, FL",1268
12103,"Pinellas County, FL",1303
12105,"Polk County, FL",875
12107,"Putnam County, FL",588
12109,"St. Johns County, FL",2993
12111,"St. Lucie County, FL",1089
12113,"Santa Rosa County, FL",1558
12115,"Sarasota County, FL",1620
12117,"Seminole County, FL",1774
12119,"Sumter County, FL",1610
12121,"Suwannee County, FL",514
12123,"Taylor County, FL",504
12125,"Union County, FL",657
12127,"Volusia County, FL",1077
12129,"Wakulla County, FL",1161
12131,"Walton County, FL",1900
12133,"Washington County, FL",641
13001,"Appling County, GA",747
13003,"Atkinson County, GA",304
13005,"Bacon County, GA",684
13007,"Baker County, GA",503
13009,"Baldwin County, GA",1177
13011,"Banks County, GA",1210
13013,"Barrow County, GA",1688
13015,"Bartow County, GA",1538
13017,"Ben Hill County, GA",631
13019,"Berrien County, GA",759
13021,"Bibb County, GA",1246
13023,"Bleckley County, GA",970
13025,"Brantley County, GA",651
13027,"Brooks County, GA",778
13029,"Bryan County, GA",2572
13031,"Bulloch County, GA",1253
13033,"Burke County, GA",848
13035,"Butts County, GA",1520
13037,"Calhoun County, GA",541
13039,"Camden County, GA",1607
13043,"Candler County, GA",841
13045,"Carroll County, GA",1317
13047,"Catoosa County, GA",1424
13049,"Charlton County, GA",667
13051,"Chatham County, GA",1735
13053,"Chattahoochee Coun, GA",330
13055,"Chattooga County, GA",666
13057,"Cherokee County, GA",2901
13059,"Clarke County, GA",1151
13061,"Clay County, GA",386
13063,"Clayton County, GA",971
13065,"Clinch County, GA",551
13067,"Cobb County, GA",2547
13069,"Coffee County, GA",683
13071,"Colquitt County, GA",723
13073,"Columbia County, GA",2485
13075,"Cook County, GA",791
13077,"Coweta County, GA",2345
13079,"Crawford County, GA",889
13081,"Crisp County, GA",765
13083,"Dade County, GA",978
13085,"Dawson County, GA",2247
13087,"Decatur County, GA",916
13089,"DeKalb County, GA",1976
13091,"Dodge County, GA",731
13093,"Dooly County, GA",580
13095,"Dougherty County, GA",910
13097,"Douglas County, GA",1798
13099,"Early County, GA",692
13101,"Echols County, GA",547
13103,"Effingham County, GA",2093
13105,"Elbert County, GA",766
13107,"Emanuel County, GA",617
13109,"Evans County, GA",779
13111,"Fannin County, GA",1440
13113,"Fayette County, GA",3320
13115,"Floyd County, GA",1153
13117,"Forsyth County, GA",4190
13119,"Franklin County, GA",931
13121,"Fulton County, GA",2772
13123,"Gilmer County, GA",1335
13125,"Glascock County, GA",731
13127,"Glynn County, GA",1930
13129,"Gordon County, GA",1095
13131,"Grady County, GA",891
13133,"Greene County, GA",2515
13135,"Gwinnett County, GA",2097
13137,"Habersham County, GA",1321
13139,"Hall County, GA",1853
13141,"Hancock County, GA",786
13143,"Haralson County, GA",1207
13145,"Harris County, GA",2932
13147,"Hart County, GA",1156
13149,"Heard County, GA",1060
13151,"Henry County, GA",2210
13153,"Houston County, GA",1610
13155,"Irwin County, GA",676
13157,"Jackson County, GA",2094
13159,"Jasper County, GA",1518
13161,"Jeff Davis County, GA",559
13163,"Jefferson County, GA",668
13165,"Jenkins County, GA",575
13167,"Johnson County, GA",638
13169,"Jones County, GA",1553
13171,"Lamar County, GA",1293
13173,"Lanier County, GA",926
13175,"Laurens County, GA",1019
13177,"Lee County, GA",2037
13179,"Liberty County, GA",965
13181,"Lincoln County, GA",1301
13183,"Long County, GA",1154
13185,"Lowndes County, GA",1233
13187,"Lumpkin County, GA",1663
13189,"McDuffie County, GA",957
13191,"McIntosh County, GA",1330
13193,"Macon County, GA",451
13195,"Madison County, GA",1231
13197,"Marion County, GA",795
13199,"Meriwether County, GA",982
13201,"Miller County, GA",861
13205,"Mitchell County, GA",666
13207,"Monroe County, GA",2046
13209,"Montgomery County, GA",895
13211,"Morgan County, GA",2096
13213,"Murray County, GA",703
13215,"Muscogee County, GA",1308
13217,"Newton County, GA",1740
13219,"Oconee County, GA",3341
13221,"Oglethorpe County, GA",1339
13223,"Paulding County, GA",2224
13225,"Peach County, GA",1380
13227,"Pickens County, GA",2114
13229,"Pierce County, GA",1004
13231,"Pike County, GA",2207
13233,"Polk County, GA",907
13235,"Pulaski County, GA",1000
13237,"Putnam County, GA",1732
13239,"Quitman County, GA",501
13241,"Rabun County, GA",1361
13243,"Randolph County, GA",474
13245,"Richmond County, GA",948
13247,"Rockdale County, GA",1893
13249,"Schley County, GA",1049
13251,"Screven County, GA",784
13253,"Seminole County, GA",804
13255,"Spalding County, GA",1154
13257,"Stephens County, GA",923
13259,"Stewart County, GA",381
13261,"Sumter County, GA",818
13263,"Talbot County, GA",1066
13265,"Taliaferro County, GA",416
13267,"Tattnall County, GA",731
13269,"Taylor County, GA",768
