GEO_ID,NAME,VALUE
5101,"Newton County, Arkansas",523
5103,"Ouachita County, Arkansas",448
5105,"Perry County, Arkansas",569
5107,"Phillips County, Arkansas",377
5109,"Pike County, Arkansas",465
5111,"Poinsett County, Arkansas",422
5113,"Polk County, Arkansas",466
5115,"Pope County, Arkansas",757
5117,"Prairie County, Arkansas",459
5119,"Pulaski County, Arkansas",1299
5121,"Randolph County, Arkansas",374
5123,"St. Francis County, Arkansas",398
5125,"Saline County, Arkansas",1132
5127,"Scott County, Arkansas",387
5129,"Searcy County, Arkansas",398
5131,"Sebastian County, Arkansas",834
5133,"Sevier County, Arkansas",462
5135,"Sharp County, Arkansas",422
5137,"Stone County, Arkansas",412
5139,"Union County, Arkansas",578
5141,"Van Buren County, Arkansas",535
5143,"Washington County, Arkansas",1195
5145,"White County, Arkansas",589
5147,"Woodruff County, Arkansas",428
5149,"Yell County, Arkansas",668
6001,"Alameda County, California",5990
6003,"Alpine County, California",2831
6005,"Amador County, California",2323
6007,"Butte County, California",1941
6009,"Calaveras County, California",2528
6011,"Colusa County, California",1859
6013,"Contra Costa County, California",5364
6015,"Del Norte County, California",1465
6017,"El Dorado County, California",3475
6019,"Fresno County, California",2097
6021,"Glenn County, California",1763
6023,"Humboldt County, California",2199
6025,"Imperial County, California",1749
6027,"Inyo County, California",2045
6029,"Kern County, California",2159
6031,"Kings County, California",1701
6033,"Lake County, California",1723
6035,"Lassen County, California",1493
6037,"Los Angeles County, California",4160
6039,"Madera County, California",1883
6041,"Marin County, California",8103
6043,"Mariposa County, California",1964
6045,"Mendocino County, California",2598
6047,"Merced County, California",1797
6049,"Modoc County, California",1246
6051,"Mono County, California",2466
6053,"Monterey County, California",3611
6055,"Napa County, California",4390
6057,"Nevada County, California",3362
6059,"Orange County, California",4736
6061,"Placer County, California",4353
6063,"Plumas County, California",1643
6065,"Riverside County, California",3337
6067,"Sacramento County, California",2862
6069,"San Benito County, California",4481
6071,"San Bernardino County, California",2615
6073,"San Diego County, California",4111
6075,"San Francisco County, California",7001
6077,"San Joaquin County, California",2859
6079,"San Luis Obispo County, California",4077
6081,"San Mateo County, California",6819
6083,"Santa Barbara County, California",3816
6085,"Santa Clara County, California",7175
6087,"Santa Cruz County, California",4944
6089,"Shasta County, California",1939
6091,"Sierra County, California",1696
6093,"Siskiyou County, California",1483
6095,"Solano County, California",3380
6097,"Sonoma County, California",4253
6099,"Stanislaus County, California",2260
6101,"Sutter County, California",2474
6103,"Tehama County, California",1431
6105,"Trinity County, California",1424
6107,"Tulare County, California",1579
6109,"Tuolumne County, California",2157
6111,"Ventura County, California",4271
6113,"Yolo County, California",3630
6115,"Yuba County, California",2120
8001,"Adams County, Colorado",1868
8003,"Alamosa County, Colorado",933
8005,"Arapahoe County, Colorado",1978
8007,"Archuleta County, Colorado",1179
8009,"Baca County, Colorado",448
8011,"Bent County, Colorado",385
8013,"Boulder County, Colorado",2804
8014,"Broomfield County, Colorado",2720
8015,"Chaffee County, Colorado",1150
8017,"Cheyenne County, Colorado",583
8019,"Clear Creek County, Colorado",1480
8021,"Conejos County, Colorado",598
8023,"Costilla County, Colorado",433
8025,"Crowley County, Colorado",414
8027,"Custer County, Colorado",1062
8029,"Delta County, Colorado",779
8031,"Denver County, Colorado",1895
8033,"Dolores County, Colorado",512
8035,"Douglas County, Colorado",2862
8037,"Eagle County, Colorado",2381
8039,"Elbert County, Colorado",2082
8041,"El Paso County, Colorado",1283
8043,"Fremont County, Colorado",752
8045,"Garfield County, Colorado",1399
8047,"Gilpin County, Colorado",888
8049,"Grand County, Colorado",1156
8051,"Gunnison County, Colorado",1412
8053,"Hinsdale County, Colorado",1285
8055,"Huerfano County, Colorado",587
8057,"Jackson County, Colorado",487
8059,"Jefferson County, Colorado",2165
8061,"Kiowa County, Colorado",562
8063,"Kit Carson County, Colorado",799
8065,"Lake County, Colorado",1295
8067,"La Plata County, Colorado",1156
8069,"Larimer County, Colorado",1925
8071,"Las Animas County, Colorado",418
8073,"Lincoln County, Colorado",561
8075,"Logan County, Colorado",901
8077,"Mesa County, Colorado",993
8079,"Mineral County, Colorado",1289
8081,"Moffat County, Colorado",921
8083,"Montezuma County, Colorado",839
8085,"Montrose County, Colorado",943
8087,"Morgan County, Colorado",1066
8089,"Otero County, Colorado",453
8091,"Ouray County, Colorado",1453
8093,"Park County, Colorado",1274
8095,"Phillips County, Colorado",943
8097,"Pitkin County, Colorado",1919
