fips,name,tax
8043,"Fremont County, Colorado",765
8045,"Garfield County, Colorado",1374
8047,"Gilpin County, Colorado",767
8049,"Grand County, Colorado",1203
8051,"Gunnison County, Colorado",1231
8053,"Hinsdale County, Colorado",970
8055,"Huerfano County, Colorado",632
8057,"Jackson County, Colorado",401
8059,"Jefferson County, Colorado",1863
8061,"Kiowa County, Colorado",472
8063,"Kit Carson County, Colorado",791
8065,"Lake County, Colorado",1067
8067,"La Plata County, Colorado",980
8069,"Larimer County, Colorado",1648
8071,"Las Animas County, Colorado",440
8073,"Lincoln County, Colorado",811
8075,"Logan County, Colorado",753
8077,"Mesa County, Colorado",1072
8079,"Mineral County, Colorado",989
8081,"Moffat County, Colorado",880
8083,"Montezuma County, Colorado",779
8085,"Montrose County, Colorado",952
8087,"Morgan County, Colorado",916
8089,"Otero County, Colorado",505
8091,"Ouray County, Colorado",1428
8093,"Park County, Colorado",1122
8095,"Phillips County, Colorado",937
8097,"Pitkin County, Colorado",2618
8099,"Prowers County, Colorado",487
8101,"Pueblo County, Colorado",1033
8103,"Rio Blanco County, Colorado",766
8105,"Rio Grande County, Colorado",641
8107,"Routt County, Colorado",1611
8109,"Saguache County, Colorado",565
8111,"San Juan County, Colorado",979
8113,"San Miguel County, Colorado",1368
8115,"Sedgwick County, Colorado",508
8117,"Summit County, Colorado",1877
8119,"Teller County, Colorado",1207
8121,"Washington County, Colorado",683
8123,"Weld County, Colorado",1223
8125,"Yuma County, Colorado",732
9001,"Fairfield County, Connecticut",6898
9003,"Hartford County, Connecticut",4862
9005,"Litchfield County, Connecticut",4559
9007,"Middlesex County, Connecticut",5041
9009,"New Haven County, Connecticut",5316
9011,"New London County, Connecticut",4082
9013,"Tolland County, Connecticut",4860
9015,"Windham County, Connecticut",3440
10001,"Kent County, Delaware",943
10003,"New Castle County, Delaware",1620
10005,"Sussex County, Delaware",741
11001,"District of Columbia, District of Columbia",2601
12001,"Alachua County, Florida",1995
12003,"Baker County, Florida",960
12005,"Bay County, Florida",1061
12007,"Bradford County, Florida",780
12009,"Brevard County, Florida",1449
12011,"Broward County, Florida",2369
12013,"Calhoun County, Florida",613
12015,"Charlotte County, Florida",1720
12017,"Citrus County, Florida",941
12019,"Clay County, Florida",1442
12021,"Collier County, Florida",2093
12023,"Columbia County, Florida",1040
12027,"DeSoto County, Florida",971
12029,"Dixie County, Florida",540
12031,"Duval County, Florida",1507
12033,"Escambia County, Florida",992
12035,"Flagler County, Florida",1666
12037,"Franklin County, Florida",1030
12039,"Gadsden County, Florida",855
12041,"Gilchrist County, Florida",856
12043,"Glades County, Florida",934
12045,"Gulf County, Florida",714
12047,"Hamilton County, Florida",648
12049,"Hardee County, Florida",995
12051,"Hendry County, Florida",983
12053,"Hernando County, Florida",1170
12055,"Highlands County, Florida",894
12057,"Hillsborough County, Florida",1805
12059,"Holmes County, Florida",577
12061,"Indian River County, Florida",1473
12063,"Jackson County, Florida",570
12065,"Jefferson County, Florida",1064
12067,"Lafayette County, Florida",936
12069,"Lake County, Florida",1539
12071,"Lee County, Florida",1717
12073,"Leon County, Florida",1765
12075,"Levy County, Florida",761
12077,"Liberty County, Florida",572
12079,"Madison County, Florida",751
12081,"Manatee County, Florida",1843
12083,"Marion County, Florida",1222
12085,"Martin County, Florida",2137
12086,"Miami-Dade County, Florida",2484
12087,"Monroe County, Florida",2778
12089,"Nassau County, Florida",1544
12091,"Okaloosa County, Florida",1374
12093,"Okeechobee County, Florida",1144
12095,"Orange County, Florida",1910
12097,"Osceola County, Florida",1485
